episode,score,mean_score_20,loss,epsilon
52,0,0.5,0.20331724174320698,0.35825389420480874
53,0,0.45,0.22215390503406524,0.352917539933049
54,4,0.65,0.22314250540165675,0.33839485296807126
55,0,0.55,0.21298518557758891,0.33268793286240766
56,2,0.65,0.21295352963109812,0.31330429038059615
57,0,0.6,0.1864003201049787,0.30495413340448385
58,0,0.6,0.22203846961598506,0.2918206404011315
59,0,0.6,0.21006980780945267,0.2795323012780908
60,0,0.55,0.12125125849111514,0.2764727742098891
61,2,0.6,0.16757279865443706,0.2629824588716937
62,1,0.65,0.16646730076325567,0.253171802863904
63,9,1.1,0.16526011726999468,0.22251706113826017
64,8,1.45,0.1925051556599717,0.20913349021874023
65,2,1.55,0.21714839545127593,0.20133168951671884
66,3,1.7,0.21233637616038323,0.19635833625895469
67,2,1.75,0.18421062399391774,0.19112501203815097
68,1,1.75,0.1696341032428401,0.18846658486714196
69,0,1.75,0.1985732534279426,0.18399502414604677
70,5,1.95,0.2230013434432055,0.17713102303819148
71,5,2.2,0.24301000141491325,0.1669776852449974
72,10,2.7,0.2481267104546229,0.1454440004894796
73,1,2.75,0.26677881677945453,0.14457351523985087
74,4,2.75,0.19271269763509433,0.14029861623483292
75,8,3.15,0.22052686671033883,0.12976616475480587
76,8,3.45,0.2153474483074564,0.12147410058173808
77,2,3.55,0.2646663969471341,0.11894849319464719
78,1,3.6,0.24863394763734606,0.11788222892494947
79,5,3.85,0.21785199239447312,0.11359818780869176
80,14,4.55,0.22969741454656176,0.09884945215374291
81,24,5.65,0.22359719961373645,0.08288962874392225
82,9,6.05,0.23335476912243266,0.07720578774481256
83,4,5.8,0.19971052184700966,0.07507295812279438
84,10,5.9,0.215504865679476,0.07048704222174904
85,18,6.7,0.23051309167887224,0.061766605270380824
86,3,6.7,0.2549843325426704,0.06060354224659512
87,11,7.15,0.25989990703987353,0.056730972980380594
88,13,7.75,0.25403462117537856,0.049911741693958976
89,32,9.35,0.2531335623860359,0.03886644166514151
90,23,10.25,0.24401912644029933,0.03220227600560473
91,33,11.65,0.25880970323787017,0.0241164103715602
92,44,13.35,0.2762082422163054,0.01712811769849985
93,13,13.95,0.2575751451464991,0.015559531218350664
94,26,15.05,0.28187372622654794,0.012891643725145403
95,27,16.0,0.29693778633243506,0.01076703625630485
96,41,17.65,0.29695943490026483,0.01
97,26,18.85,0.31823998702069123,0.01
98,28,20.2,0.3187814412372453,0.01
99,10,20.45,0.31745404922045195,0.01
100,17,20.6,0.3080721850403481,0.01
101,31,20.95,0.3100320115261733,0.01
102,31,22.05,0.31704264658037573,0.01
103,40,23.85,0.3350607174232908,0.01
104,22,24.45,0.33068765996972477,0.01
105,16,24.35,0.33693823280433816,0.01
106,17,25.05,0.35688781135139014,0.01
107,21,25.55,0.34246940411136534,0.01
108,38,26.8,0.34308951961021894,0.01
109,33,26.85,0.3733405830284043,0.01
110,2,25.8,0.34782691092954743,0.01
111,28,25.55,0.3702008725385966,0.01
112,28,24.75,0.3494844520030244,0.01
113,29,25.55,0.3386635993675488,0.01
114,19,25.2,0.3721126884222031,0.01
115,38,25.75,0.3652798815812232,0.01
116,35,25.45,0.3828156736345237,0.01
117,28,25.55,0.37123688813147504,0.01
118,24,25.35,0.37589904082379316,0.01
119,30,26.35,0.3828240403254044,0.01
120,12,26.1,0.4041443447391671,0.01
121,28,25.95,0.3858662692084909,0.01
122,17,25.25,0.36446137342063134,0.01
123,32,24.85,0.35754714895819506,0.01
124,38,25.65,0.36030884123878715,0.01
125,5,25.1,0.3425626585612426,0.01
126,10,24.75,0.38056557356483406,0.01
127,20,24.7,0.38166610121118777,0.01
128,28,24.2,0.3605929261614238,0.01
129,33,24.2,0.37738363636143013,0.01
130,42,26.2,0.38728935562573785,0.01
131,32,26.4,0.3862101737873621,0.01
132,24,26.2,0.3761531530568997,0.01
133,24,25.95,0.4053330353715203,0.01
134,41,27.05,0.3965056605738442,0.01
135,11,25.7,0.4098452500214702,0.01
136,42,26.05,0.4138902403994814,0.01
137,27,26.0,0.41445383926232654,0.01
138,21,25.85,0.43891925023621825,0.01
139,42,26.45,0.4173644663265537,0.01
140,18,26.75,0.43911390892275565,0.01
141,24,26.55,0.4374117413633748,0.01
142,32,27.3,0.4187915068078827,0.01
143,34,27.4,0.4031204128405079,0.01
144,33,27.15,0.391259018295946,0.01
145,35,28.65,0.4107423169181702,0.01
146,24,29.35,0.41855586529093447,0.01
147,6,28.65,0.4047239544716748,0.01
148,9,27.7,0.3883914179903896,0.01
149,42,28.15,0.39476224356471096,0.01
150,32,27.65,0.4262369668833726,0.01
151,27,27.4,0.4078117954156324,0.01
152,33,27.85,0.39096855070360387,0.01
153,35,28.4,0.4053499948889314,0.01
154,29,27.8,0.40969716793703803,0.01
155,22,28.35,0.40947779730321415,0.01
156,25,27.5,0.3934020094121947,0.01
157,6,26.45,0.4143913708082059,0.01
158,18,26.3,0.3994726233799523,0.01
159,32,25.8,0.40330450699037435,0.01
160,22,26.0,0.4308226180297357,0.01
161,27,26.15,0.41696556645470695,0.01
162,11,25.1,0.449400059429996,0.01
163,28,24.8,0.4506537815380524,0.01
164,20,24.15,0.41773074240453784,0.01
165,3,22.55,0.45806403883865904,0.01
166,36,23.15,0.43143820045691617,0.01
167,31,24.4,0.436275593763174,0.01
168,25,25.2,0.4392144542098755,0.01
169,42,25.2,0.4102161025771728,0.01
170,47,25.95,0.43098084908471535,0.01
171,42,26.7,0.4238679717887532,0.01
172,24,26.25,0.41181299554583917,0.01
173,25,25.75,0.41890989180910526,0.01
174,19,25.25,0.40138323328668074,0.01
175,13,24.8,0.42399106625207633,0.01
176,31,25.1,0.45168762788715133,0.01
177,35,26.55,0.4557825930872742,0.01
178,19,26.6,0.42587374581231013,0.01
179,43,27.15,0.4268606713457594,0.01
180,39,28.0,0.3975384093070631,0.01
181,26,27.95,0.41549076089199555,0.01
182,16,28.2,0.44358184611475143,0.01
183,15,27.55,0.43620158662305814,0.01
184,40,28.55,0.42473749410669515,0.01
185,20,29.4,0.3963237073152296,0.01
186,37,29.45,0.4326110457808807,0.01
187,39,29.85,0.4223534605975421,0.01
188,37,30.45,0.4243226402684262,0.01
189,20,29.35,0.4598051074841251,0.01
190,48,29.4,0.43923291922650914,0.01
191,30,28.8,0.43509692555051216,0.01
192,15,28.35,0.45781800389289856,0.01
193,22,28.2,0.4410074970995386,0.01
194,40,29.25,0.42761661788802935,0.01
195,26,29.9,0.42830451441372874,0.01
196,10,28.85,0.44708323513352594,0.01
197,29,28.55,0.4440910145053713,0.01
198,20,28.6,0.4184017698375546,0.01
199,39,28.4,0.41112396799968776,0.01
200,32,28.05,0.423234373495421,0.01
201,25,28.0,0.43067226620471993,0.01
202,30,28.7,0.4323533911419951,0.01
203,40,29.95,0.43315874847707214,0.01
204,28,29.35,0.4242737332795873,0.01
205,22,29.45,0.45874488034418653,0.01
206,31,29.15,0.4382738730737141,0.01
207,2,27.3,0.4428304319198315,0.01
208,18,26.35,0.4318507510045218,0.01
209,35,27.1,0.4124788985396108,0.01
210,45,26.95,0.4177637795674736,0.01
211,21,26.5,0.42391604781150816,0.01
212,24,26.95,0.4246617149599273,0.01
213,14,26.55,0.46098886198196254,0.01
214,13,25.2,0.46855828039348124,0.01
215,26,25.2,0.44273739377105675,0.01
216,23,25.85,0.4097385266902803,0.01
217,18,25.3,0.4242208761648393,0.01
218,19,25.25,0.4206441495432911,0.01
219,28,24.7,0.4306459777094991,0.01
220,33,24.75,0.431216827080277,0.01
221,34,25.2,0.4395961189051954,0.01
222,28,25.1,0.43429367304817446,0.01
223,37,24.95,0.4135755654633715,0.01
224,26,24.85,0.44882565415695885,0.01
225,35,25.5,0.4558203997207688,0.01
226,9,24.4,0.45388330748448,0.01
227,41,26.35,0.4536041991273082,0.01
228,16,26.25,0.43116919900107586,0.01
229,25,25.75,0.4800132229924202,0.01
230,35,25.25,0.4326722600761755,0.01
231,34,25.9,0.42020298014192475,0.01
232,32,26.3,0.46134834362307625,0.01
233,38,27.5,0.4472994247069027,0.01
234,29,28.3,0.45794068418186284,0.01
235,30,28.5,0.46281983961711576,0.01
236,15,28.1,0.4766354683567496,0.01
237,45,29.45,0.46075921911873924,0.01
238,44,30.7,0.4442446868372969,0.01
239,36,31.1,0.44306654770459447,0.01
240,17,30.3,0.46604012438784476,0.01
241,16,29.4,0.4579271404789044,0.01
242,36,29.8,0.42892970347517656,0.01
243,40,29.95,0.4455688550057313,0.01
244,32,30.25,0.47527914232077917,0.01
245,41,30.55,0.4428207199130438,0.01
246,39,32.05,0.4433416484290569,0.01
247,25,31.25,0.43940398989514234,0.01
248,33,32.1,0.46140384581339716,0.01
249,26,32.15,0.44359796613619473,0.01
250,24,31.6,0.42448993339095004,0.01
251,18,30.8,0.428891029763729,0.01
252,45,31.45,0.4371217752297719,0.01
253,28,30.95,0.4680683364928593,0.01
254,45,31.75,0.4480404013513841,0.01
255,1,30.3,0.46334212739020586,0.01
256,16,30.35,0.42237300702855607,0.01
257,25,29.35,0.4496979518464549,0.01
258,19,28.1,0.4566692202649218,0.01
259,26,27.6,0.4442177613326653,0.01
260,21,27.8,0.4666206289350597,0.01
261,46,29.3,0.4501621478984317,0.01
262,43,29.65,0.47578805437408433,0.01
263,20,28.65,0.46331748236345766,0.01
264,15,27.8,0.44326426998640484,0.01
265,41,27.8,0.45706439016120776,0.01
266,30,27.35,0.4496667175533924,0.01
267,11,26.65,0.3982228909929593,0.01
268,46,27.3,0.44126907053582,0.01
269,26,27.3,0.43103741140050045,0.01
270,35,27.85,0.4570495631588276,0.01
271,21,28.0,0.4703473484156825,0.01
272,23,26.9,0.4454786737078156,0.01
273,42,27.6,0.4563373773085139,0.01
274,27,26.7,0.4660544959844741,0.01
275,26,27.95,0.4576357370021784,0.01
276,36,28.95,0.43083509932393615,0.01
277,22,28.8,0.4295548288848813,0.01
278,31,29.4,0.46145194980802884,0.01
279,33,29.75,0.4458511974967894,0.01
280,6,29.0,0.43684549629688263,0.01
281,26,28.0,0.4538637398850193,0.01
282,50,28.35,0.4462585921737295,0.01
283,14,28.05,0.46207105458296577,0.01
284,15,28.05,0.45362478269842166,0.01
285,30,27.5,0.4352055887066865,0.01
286,1,26.05,0.42703398019075395,0.01
287,49,27.95,0.4593136906985519,0.01
288,46,27.95,0.4673573531636453,0.01
289,1,26.7,0.39803189352939006,0.01
290,43,27.1,0.454678140216689,0.01
291,26,27.35,0.43447583716792554,0.01
292,28,27.6,0.43595086820255036,0.01
293,20,26.5,0.4587447972642997,0.01
294,35,26.9,0.4492109534263179,0.01
295,5,25.85,0.4645325962740641,0.01
296,17,24.9,0.43009237381427184,0.01
297,21,24.85,0.44298038543447066,0.01
298,16,24.1,0.43693721184476475,0.01
299,49,24.9,0.4343200140085417,0.01
300,35,26.35,0.4732045204247404,0.01
301,21,26.1,0.44130155195792514,0.01
302,38,25.5,0.455403257665461,0.01
303,15,25.55,0.4559730996768321,0.01
304,51,27.35,0.46783584425354313,0.01
305,20,26.85,0.4566820375621319,0.01
306,33,28.45,0.425579329244062,0.01
307,13,26.65,0.46429607357028163,0.01
308,10,24.85,0.44684817859282094,0.01
309,33,26.45,0.4270632682740688,0.01
310,11,24.85,0.42636485887425285,0.01
311,45,25.8,0.43981569532664294,0.01
312,35,26.15,0.44457808436324064,0.01
313,30,26.65,0.47662658642592104,0.01
314,37,26.75,0.46325991094320806,0.01
315,47,28.85,0.4625037541467537,0.01
316,28,29.4,0.46125163742771713,0.01
317,25,29.6,0.4667489150453945,0.01
318,19,29.75,0.4772800444591817,0.01
319,18,28.2,0.4433822715745389,0.01
320,33,28.1,0.46201620548020433,0.01
321,32,28.65,0.4404448248272718,0.01
322,29,28.2,0.4525964832514204,0.01
323,24,28.65,0.4213922821623938,0.01
324,27,27.45,0.43235720344687584,0.01
325,26,27.75,0.4580230969247095,0.01
326,32,27.7,0.44735040205220383,0.01
327,12,27.65,0.43959512255894834,0.01
328,29,28.6,0.45610337033225545,0.01
329,27,28.3,0.4199372752133859,0.01
330,25,29.0,0.4276641892810022,0.01
331,15,27.5,0.45557140360904647,0.01
332,44,27.95,0.4218416459590114,0.01
333,22,27.55,0.42749956698199504,0.01
334,5,25.95,0.5044532923987417,0.01
335,29,25.05,0.46119329219652433,0.01
336,48,26.05,0.45520697733790605,0.01
337,28,26.2,0.42952822007842967,0.01
338,33,26.9,0.42405082752415235,0.01
339,20,27.0,0.4197738468647003,0.01
340,16,26.15,0.43725217345716627,0.01
341,18,25.45,0.4517430860608343,0.01
342,19,24.95,0.46961832676942533,0.01
343,23,24.9,0.4648020758383697,0.01
344,4,23.75,0.4436548880877949,0.01
345,33,24.1,0.4348673238133898,0.01
346,37,24.35,0.44243076800807446,0.01
347,36,25.55,0.43679557143435305,0.01
348,8,24.5,0.42953459258939397,0.01
349,12,23.75,0.4168841777478947,0.01
350,39,24.45,0.4724310177885844,0.01
351,39,25.65,0.4734049665382485,0.01
352,24,24.65,0.4593957073717232,0.01
353,29,25.0,0.4436579514792896,0.01
354,15,25.5,0.4258195361466084,0.01
355,24,25.25,0.47414260481794673,0.01
356,20,23.85,0.4707669392674269,0.01
357,17,23.3,0.47030107550164485,0.01
358,35,23.4,0.46580000164648216,0.01
359,42,24.5,0.42990925173598826,0.01
360,24,24.9,0.46011861298502105,0.01
361,41,26.05,0.45525544407289653,0.01
362,35,26.85,0.45774410500058105,0.01
363,36,27.5,0.46186812441599995,0.01
364,29,28.75,0.4710927289901393,0.01
365,36,28.9,0.4487821206672868,0.01
366,43,29.2,0.4325948755876819,0.01
367,45,29.65,0.4616399040878421,0.01
368,49,31.7,0.4776749251075604,0.01
369,30,32.6,0.4722963330659224,0.01
370,23,31.8,0.444234625298596,0.01
371,36,31.65,0.4580775970060911,0.01
372,18,31.35,0.4189081775948284,0.01
373,29,31.35,0.44564445111486645,0.01
374,38,32.5,0.4888642956770357,0.01
375,47,33.65,0.4814088383592418,0.01
376,28,34.05,0.4475462862218802,0.01
377,6,33.5,0.4274136560658614,0.01
378,31,33.3,0.4519822628737537,0.01
379,14,31.9,0.4625681649893522,0.01
380,34,32.4,0.4887194685290791,0.01
381,28,31.75,0.47290401639682905,0.01
382,36,31.8,0.4543520834315852,0.01
383,36,31.8,0.444015018756573,0.01
384,19,31.3,0.43330948262342384,0.01
385,38,31.4,0.45075685755681183,0.01
386,41,31.3,0.47698692208162713,0.01
387,14,29.75,0.4084391268816861,0.01
388,38,29.2,0.4815633128453421,0.01
389,8,28.1,0.4986571118516742,0.01
390,37,28.8,0.48808536467765895,0.01
391,27,28.35,0.4963178729138723,0.01
392,31,29.0,0.455080367738509,0.01
393,43,29.7,0.4640318508381429,0.01
394,21,28.85,0.45801112545232703,0.01
395,32,28.1,0.45694917983802635,0.01
396,20,27.7,0.44122630473855257,0.01
397,27,28.75,0.45178351241150544,0.01
398,26,28.5,0.4557825911313437,0.01
399,17,28.65,0.4729999743642346,0.01
400,24,28.15,0.4697550125619307,0.01
401,42,28.85,0.4781107358266037,0.01
402,34,28.75,0.4575773230370353,0.01
403,22,28.05,0.4740910904369498,0.01
404,7,27.45,0.4463361348025501,0.01
405,32,27.15,0.4863975501578787,0.01
406,9,25.55,0.4543567638505589,0.01
407,45,27.1,0.45892951310968694,0.01
408,30,26.7,0.4462848341907842,0.01
409,38,28.2,0.47178737713944957,0.01
410,10,26.85,0.467180215606564,0.01
411,8,25.9,0.4739744566207708,0.01
412,16,25.15,0.4756751574423848,0.01
413,38,24.9,0.49957437218958245,0.01
414,12,24.45,0.47296369438235825,0.01
415,17,23.7,0.4553143158555031,0.01
416,21,23.75,0.43638871360038006,0.01
417,46,24.7,0.4579974531583873,0.01
418,36,25.2,0.4909173699310017,0.01
419,37,26.2,0.47609569475477803,0.01
420,21,26.05,0.46013898460451,0.01
421,19,24.9,0.4584379142878071,0.01
422,22,24.3,0.4570448487404956,0.01
423,51,25.75,0.47589160379352446,0.01
424,22,26.5,0.4687015001656692,0.01
425,17,25.75,0.43843582241805557,0.01
426,14,26.0,0.46446541194500546,0.01
427,31,25.3,0.462681655964208,0.01
428,20,24.8,0.44080978577189583,0.01
429,50,25.4,0.44766035695423445,0.01
430,30,26.4,0.46059865487309604,0.01
431,14,26.7,0.43616533792681167,0.01
432,28,27.3,0.4538448515534401,0.01
433,16,26.2,0.479202306024114,0.01
434,43,27.75,0.46773407593496125,0.01
435,27,28.25,0.5060288116778477,0.01
436,25,28.45,0.4750988292560149,0.01
437,53,28.8,0.47075945938241137,0.01
438,23,28.15,0.4802578153132006,0.01
439,22,27.4,0.4677164370058388,0.01
440,44,28.55,0.47969784093706797,0.01
441,27,28.95,0.48390842087385133,0.01
442,20,28.85,0.44553957303576436,0.01
443,34,28.0,0.4442379138597245,0.01
444,27,28.25,0.47043555524460107,0.01
445,29,28.85,0.45405005112938257,0.01
446,1,28.2,0.5325767563449012,0.01
447,41,28.7,0.44135141258786437,0.01
448,31,29.25,0.5186841348343987,0.01
449,35,28.5,0.4773822948336601,0.01
450,40,29.0,0.4504743325170021,0.01
451,34,30.0,0.45325034058730124,0.01
452,32,30.2,0.465377863496542,0.01
453,31,30.95,0.4313817397819311,0.01
454,14,29.5,0.475477648469118,0.01
455,32,29.75,0.49918676702560727,0.01
456,1,28.55,0.4152802750468254,0.01
457,27,27.25,0.44673945404150905,0.01
458,30,27.6,0.4539312862716945,0.01
459,36,28.3,0.4623184153841714,0.01
460,42,28.2,0.43664362391856504,0.01
461,30,28.35,0.451229386252932,0.01
462,9,27.8,0.4653380794657601,0.01
463,24,27.3,0.4618629787637051,0.01
464,50,28.45,0.44752356063158666,0.01
465,23,28.15,0.4759845267642628,0.01
466,24,29.3,0.47754101225255446,0.01
467,48,29.65,0.48326469678206246,0.01
468,20,29.1,0.48473309146033394,0.01
469,29,28.8,0.4501375259127024,0.01
470,29,28.25,0.4392778771241922,0.01
471,14,27.25,0.49076021599272884,0.01
472,42,27.75,0.46729771823749033,0.01
473,21,27.25,0.4646299456556638,0.01
474,36,28.35,0.46729493200541494,0.01
475,46,29.05,0.47131020773270627,0.01
476,20,30.0,0.4424086886794627,0.01
477,22,29.75,0.45033504933399976,0.01
478,37,30.1,0.4553188216573787,0.01
479,32,29.9,0.5049451117825615,0.01
480,19,28.75,0.49442936995423825,0.01
481,34,28.95,0.49057086045942166,0.01
482,19,29.45,0.5149112444623072,0.01
483,39,30.2,0.4683961589962749,0.01
484,30,29.2,0.45698687616497913,0.01
485,28,29.45,0.4695688677785542,0.01
486,42,30.35,0.45172512837103246,0.01
487,24,29.15,0.49373099338528104,0.01
488,26,29.45,0.4767030636581142,0.01
489,28,29.4,0.47926712378456787,0.01
490,10,28.45,0.4832152706426634,0.01
491,30,29.25,0.47315454965546017,0.01
492,35,28.9,0.4687751658215113,0.01
493,42,29.95,0.45791211057650416,0.01
494,37,30.0,0.460162450455957,0.01
495,6,28.0,0.4754978848515816,0.01
496,40,29.0,0.4574477592967961,0.01
497,11,28.45,0.46055046431343966,0.01
498,24,27.8,0.4561165958309973,0.01
499,19,27.15,0.5063132302484651,0.01
500,31,27.75,0.4713260964991955,0.01
